#header line: GPU processors,avg,error_bar,run1,run2,run3

 1,26.327153933,0.03626291,26.36223215,26.32952332,26.28970633
 4,26.412466433,0.041331215,26.40739639,26.45633267,26.37367024
 8,26.8481705,0.50595916,27.49635596,26.56371790,26.48443764
12,26.694061557,0.167393425,26.68658346,26.86519403,26.53040718
16,27.189856963,0.524588525,26.88242962,27.86815916,26.81898211
20,27.382673563,0.14676876,27.47988159,27.48083831,27.18730079
24,27.450834343,0.075588045,27.35439794,27.50557403,27.49253106
28,30.471204887,0.5235913,29.98339726,30.39963754,31.03057986
32,31.50684929,1.46423362,33.29202927,30.36356203,30.86495657
36,30.995263887,0.29821322,31.05857736,30.66539393,31.26182037
40,31.915978473,0.4241624,31.41860068,32.26692548,32.06240926
44,32.193834343,0.31527124,32.00138665,31.97478695,32.60532943
48,32.026625073,0.490247925,32.12689833,31.48624052,32.46673637
