#header file: processors,avg,error_bar,run1,run2,run3

 1,2634.49171264,4.9632675,2637.17807386,2628.18526453,2638.11179953
12,2654.92412071,3.9285639,2651.66834976,2653.57853481,2659.52547756
24,2782.57954976,41.38676659,2750.62977477,2763.70556656,2833.40330795
48,3146.777413353,30.94533049,3159.25584482,3109.59286713,3171.48352811
